"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Population (Number of persons) 1/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2020:Q1","2020:Q2","2020:Q3","2020:Q4"
"00000","United States",329269393,329430588,329646660,329933229
"01000","Alabama",4919385,4920954,4924127,4928670
"02000","Alaska",732407,731605,730832,730138
"04000","Arizona",7378105,7407412,7439087,7473388
"05000","Arkansas",3028684,3029995,3032333,3035564
"06000","California",39427174,39392248,39363261,39349300
"08000","Colorado",5792330,5802805,5814775,5828171
"09000","Connecticut",3562853,3559122,3555590,3552301
"10000","Delaware",983714,985835,988196,990851
"11000","District of Columbia",711598,712460,713198,713905
"12000","Florida",21659884,21710061,21761157,21814197
"13000","Georgia",10685821,10702475,10720826,10741218
"15000","Hawaii",1411684,1408762,1405965,1403784
"16000","Idaho",1813615,1822513,1831954,1841857
"17000","Illinois",12625670,12600937,12578779,12559673
"18000","Indiana",6749563,6753337,6758180,6763974
"19000","Iowa",3163869,3163732,3164061,3164703
"20000","Kansas",2915050,2914318,2914230,2914698
"21000","Kentucky",4477580,4477422,4478653,4480945
"22000","Louisiana",4652911,4648004,4644149,4641229
"23000","Maine",1349254,1349857,1350792,1351930
"24000","Maryland",6059754,6057454,6055661,6054671
"25000","Massachusetts",6898624,6895616,6891926,6887991
"26000","Michigan",9979328,9971093,9965997,9963565
"27000","Minnesota",5654054,5656419,5659622,5663552
"28000","Mississippi",2972908,2968921,2966316,2964929
"29000","Missouri",6150802,6151427,6154104,6158432
"30000","Montana",1077213,1079466,1082001,1084745
"31000","Nebraska",1936742,1937348,1938407,1939875
"32000","Nevada",3122643,3133273,3144432,3156432
"33000","New Hampshire",1364948,1365849,1366952,1368179
"34000","New Jersey",8892331,8886338,8880858,8876834
"35000","New Mexico",2105359,2106155,2107303,2109032
"36000","New York",19398857,19358910,19320970,19287180
"37000","North Carolina",10570086,10590996,10614498,10640407
"38000","North Dakota",765074,765243,765601,766086
"39000","Ohio",11701100,11696135,11694445,11695351
"40000","Oklahoma",3975430,3979102,3983811,3989339
"41000","Oregon",4234519,4239315,4245292,4252262
"42000","Pennsylvania",12797416,12788403,12782588,12779376
"44000","Rhode Island",1058208,1057524,1057071,1056826
"45000","South Carolina",5198709,5211779,5226660,5243144
"46000","South Dakota",891075,892182,893369,894597
"47000","Tennessee",6869301,6881164,6895106,6910829
"48000","Texas",29239757,29322694,29406563,29495549
"49000","Utah",3233763,3244602,3255803,3267452
"50000","Vermont",623958,623554,623333,623198
"51000","Virginia",8583347,8588604,8594104,8600325
"53000","Washington",7668664,7685747,7702749,7720285
"54000","West Virginia",1789633,1786411,1783796,1781568
"55000","Wisconsin",5832860,5832853,5834484,5837390
"56000","Wyoming",581779,582157,582693,583332
"91000","New England",14857845,14851522,14845664,14840425
"92000","Mideast",48843670,48789400,48741471,48702817
"93000","Great Lakes",46888521,46854355,46831885,46819953
"94000","Plains",21476666,21480669,21489394,21501943
"95000","Southeast",85408249,85516786,85641725,85783025
"96000","Southwest",42698651,42815363,42936764,43067308
"97000","Rocky Mountain",12498700,12531543,12567226,12605557
"98000","Far West",56597091,56590950,56592531,56612201
"Legend / Footnotes:"
"1/ Midquarter population estimates by state are derived by BEA based on unpublished Census Bureau estimates of beginning-of-month population. Quarterly estimates for 2010-2020 reflect unpublished monthly population estimates available as of February 2021."
"* Estimates prior to 1950 are not available for Alaska and Hawaii."
"Note. Millions of dollars, seasonally adjusted at annual rates. All dollar estimates are in current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"Last updated: March 24, 2021-- new statistics for 2020:Q4; revised statistics for 2010:Q1-2020:Q3."
