"SQGDP9 Real GDP by state 1/"
"Real GDP by state: All industry total (Percent change from preceding period (annualized))" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1-:Q2","2005:Q2-:Q3","2005:Q3-:Q4","2005:Q4-2006:Q1","2006:Q1-:Q2","2006:Q2-:Q3","2006:Q3-:Q4","2006:Q4-2007:Q1","2007:Q1-:Q2","2007:Q2-:Q3","2007:Q3-:Q4","2007:Q4-2008:Q1","2008:Q1-:Q2","2008:Q2-:Q3","2008:Q3-:Q4","2008:Q4-2009:Q1","2009:Q1-:Q2","2009:Q2-:Q3","2009:Q3-:Q4","2009:Q4-2010:Q1","2010:Q1-:Q2","2010:Q2-:Q3","2010:Q3-:Q4","2010:Q4-2011:Q1","2011:Q1-:Q2","2011:Q2-:Q3","2011:Q3-:Q4","2011:Q4-2012:Q1","2012:Q1-:Q2","2012:Q2-:Q3","2012:Q3-:Q4","2012:Q4-2013:Q1","2013:Q1-:Q2","2013:Q2-:Q3","2013:Q3-:Q4","2013:Q4-2014:Q1","2014:Q1-:Q2","2014:Q2-:Q3","2014:Q3-:Q4","2014:Q4-2015:Q1","2015:Q1-:Q2","2015:Q2-:Q3","2015:Q3-:Q4","2015:Q4-2016:Q1","2016:Q1-:Q2","2016:Q2-:Q3","2016:Q3-:Q4","2016:Q4-2017:Q1","2017:Q1-:Q2","2017:Q2-:Q3","2017:Q3-:Q4","2017:Q4-2018:Q1","2018:Q1-:Q2","2018:Q2-:Q3","2018:Q3-:Q4","2018:Q4-2019:Q1","2019:Q1-:Q2","2019:Q2-:Q3","2019:Q3-:Q4","2019:Q4-2020:Q1","2020:Q1-:Q2","2020:Q2-:Q3","2020:Q3-:Q4"
"00000","United States",1.9,3.6,2.5,5.4,0.9,0.6,3.5,0.9,2.3,2.2,2.5,-2.3,2.1,-2.1,-8.4,-4.4,-0.6,1.5,4.5,1.5,3.7,3.0,2.0,-1.0,2.9,-0.1,4.7,3.2,1.7,0.5,0.5,3.6,0.5,3.2,3.2,-1.1,5.5,5.0,2.3,3.9,2.7,1.5,0.6,2.3,1.3,2.2,2.5,2.3,1.7,2.9,3.9,3.8,2.7,2.1,1.3,2.9,1.5,2.6,2.4,-5.0,-31.4,33.4,4.3
"01000","Alabama",4.6,-0.3,5.1,0.8,2.5,0.0,0.6,-2.5,3.1,3.1,0.6,-2.1,1.8,-3.1,-11.2,-4.8,0.1,1.2,1.1,0.2,5.2,7.8,-0.4,-2.8,2.2,1.8,5.5,-1.3,0.5,-4.7,-0.8,9.1,-1.7,2.8,-4.6,-5.4,5.6,2.6,0.1,-1.7,3.5,1.3,-1.1,1.5,2.4,-0.2,2.2,1.2,-0.4,0.9,4.1,3.8,1.1,0.5,3.0,0.8,0.4,2.8,1.3,-3.2,-29.6,34.6,5.0
"02000","Alaska",3.8,-3.2,5.6,11.5,13.9,4.7,13.5,2.9,7.2,-0.7,-6.7,-8.9,-8.1,17.9,42.5,16.5,-4.3,-9.9,-5.1,-9.1,9.6,2.6,-2.2,-11.4,9.6,5.4,18.6,-0.5,11.3,-3.1,-8.1,-5.2,-13.4,2.5,-4.1,-6.6,1.6,2.0,3.4,3.8,-4.3,-0.6,-0.2,3.4,-6.5,-3.9,-0.7,0.6,-0.7,2.9,-3.4,1.7,0.4,-0.3,1.3,0.0,-0.1,3.6,-0.5,-6.0,-33.8,32.2,5.8
"04000","Arizona",8.3,9.4,1.8,9.0,1.3,4.9,5.2,0.2,3.5,4.1,-1.7,-2.9,-3.0,-6.0,-14.4,-11.8,-6.8,-3.2,5.3,-4.1,6.0,4.3,4.2,-1.6,1.5,1.3,8.4,-0.1,1.6,-1.8,0.6,1.7,-0.2,1.6,2.5,0.4,2.0,3.3,0.1,5.8,3.1,-0.3,5.0,2.1,5.1,5.1,1.7,4.9,1.7,6.2,2.2,7.8,1.3,2.7,2.5,2.8,3.0,4.7,4.9,-3.2,-25.3,31.1,4.3
"05000","Arkansas",2.7,3.2,8.9,-1.7,5.6,-3.2,-2.1,-8.8,3.1,1.4,21.5,-17.3,6.8,-2.8,-6.9,-0.3,-13.0,3.5,4.4,-3.3,12.2,7.5,0.5,-0.9,0.7,0.8,4.3,2.2,-2.1,-4.0,-3.3,15.8,-1.3,2.8,-2.0,1.2,3.9,1.9,2.3,-2.9,2.6,3.5,-0.1,-1.1,0.7,-1.2,3.5,2.0,0.5,-0.8,4.0,1.4,2.0,0.3,1.5,-1.7,1.5,1.8,1.9,-4.0,-27.9,31.8,5.1
"06000","California",3.5,5.7,3.6,10.0,-1.3,2.1,2.3,-1.7,2.8,3.3,6.1,-6.4,7.6,-1.3,-13.4,-1.6,-5.9,-1.9,1.5,4.1,1.1,1.1,8.6,-1.3,1.2,-1.4,2.8,5.5,0.7,2.3,5.8,0.0,3.9,6.0,10.6,-2.9,5.7,8.3,1.7,8.4,6.6,1.3,1.1,6.4,0.7,5.5,3.2,5.0,4.6,4.5,5.3,0.7,3.4,2.1,2.5,3.6,4.9,1.6,6.6,-4.3,-31.5,31.2,3.8
"08000","Colorado",2.3,2.7,-4.0,8.6,-2.4,5.0,0.0,2.3,6.7,4.1,8.6,-5.2,3.1,-0.7,-5.4,-1.2,-6.6,2.9,1.4,-1.3,1.4,4.3,7.0,-4.8,1.1,0.7,4.2,1.3,2.6,-0.8,3.4,6.9,0.4,4.6,3.9,2.6,5.3,6.6,8.4,4.4,2.4,3.0,2.7,-1.7,2.9,6.3,5.4,1.6,3.0,6.3,5.0,6.2,2.7,1.5,3.9,4.8,3.9,6.0,2.5,-1.3,-28.1,30.1,4.5
"09000","Connecticut",2.5,-0.5,5.4,12.9,-3.7,0.2,5.2,13.2,0.2,0.2,-3.9,20.9,-7.4,-14.5,-19.4,12.3,-3.4,-0.3,2.0,-2.9,2.9,0.0,-3.6,-9.3,4.6,-2.6,2.6,1.4,0.8,-1.4,-0.5,-5.5,-3.4,1.0,-2.2,-6.5,5.2,4.4,4.7,4.9,2.1,-1.6,0.9,1.3,-0.5,-1.2,1.6,-0.1,4.4,0.2,-0.9,2.0,-3.0,4.5,-3.3,4.9,-1.1,0.6,1.9,-6.0,-31.1,32.6,7.0
"10000","Delaware",-8.4,0.1,58.1,-20.2,5.5,-3.3,-5.4,3.3,10.6,-10.3,-6.8,-5.4,0.2,-2.4,-9.2,24.0,5.2,0.6,-9.2,6.9,-7.5,4.0,4.8,5.3,2.8,4.2,-0.9,3.7,-6.2,-5.0,-9.1,-6.9,-2.0,1.4,16.3,3.5,13.7,9.0,4.2,7.0,6.6,-12.4,-3.1,-12.4,-0.1,-3.3,-0.5,-0.8,-8.8,5.7,1.3,1.8,3.6,6.4,-2.4,4.8,0.3,-0.4,1.7,-11.4,-21.9,27.6,5.8
"11000","District of Columbia",0.1,-1.7,0.8,1.9,-1.5,4.2,-5.3,5.6,2.4,13.7,-2.3,9.3,-0.7,2.1,-0.9,-3.3,1.7,-0.1,1.1,8.8,2.9,1.6,2.7,1.2,3.1,0.9,-1.1,0.3,3.1,-0.1,-1.9,1.5,-2.2,3.1,0.6,2.6,1.2,3.3,2.4,1.4,3.3,-0.5,1.3,5.7,0.6,-0.7,3.6,-4.2,2.1,7.2,-2.0,2.7,2.4,3.1,-1.3,0.3,1.6,1.7,2.7,-1.2,-20.4,19.2,1.2
"12000","Florida",3.4,8.7,-0.6,7.4,1.0,0.2,4.0,-4.0,1.1,2.2,-2.1,-6.8,-2.6,-5.9,-13.0,-5.4,-4.1,-1.6,4.7,-2.4,3.8,3.2,1.0,-6.2,3.4,-3.5,2.9,1.1,-1.1,3.2,-1.3,5.3,0.0,3.5,3.2,-0.4,5.3,4.8,4.1,4.0,5.9,3.5,4.1,0.3,5.0,5.3,3.1,3.8,2.0,2.7,5.5,6.3,0.9,4.4,1.1,5.1,1.0,3.0,3.4,-4.3,-30.1,33.4,3.1
"13000","Georgia",1.8,1.0,4.7,-1.5,0.3,1.6,3.1,-6.3,3.4,3.4,2.8,-9.1,1.3,-3.6,-13.2,-3.9,0.4,-0.6,1.6,0.3,1.3,3.8,4.7,-0.5,0.0,1.6,3.7,0.7,1.2,0.3,-1.2,5.3,-0.8,1.6,2.9,3.6,6.2,4.3,2.1,5.8,5.3,2.1,2.1,6.3,1.5,2.6,4.3,5.7,0.8,3.8,6.9,3.2,3.0,4.2,0.5,0.8,1.2,2.4,1.6,-4.0,-27.7,32.7,4.7
"15000","Hawaii",3.1,3.6,5.3,0.6,3.2,2.4,-0.2,-2.0,1.3,6.0,3.3,0.2,2.5,-5.1,-8.5,-4.1,-1.5,-2.1,2.3,5.1,2.6,6.8,2.6,-0.9,0.1,-0.6,7.2,0.8,2.8,1.2,-2.2,5.7,-3.4,1.3,0.5,-3.0,2.7,3.6,0.9,7.6,2.9,1.8,3.1,2.8,2.0,1.7,3.7,4.6,0.5,1.0,1.2,2.9,2.9,-2.3,1.3,0.1,-1.0,1.5,2.7,-8.9,-42.2,31.3,2.1
"16000","Idaho",6.0,7.3,-0.7,10.7,4.8,-7.0,5.1,2.1,1.6,2.9,7.0,-0.7,6.0,-1.9,-10.2,-5.5,-8.2,3.4,-1.3,5.6,0.0,3.4,1.9,-6.1,1.7,-0.5,5.4,-4.7,0.8,1.6,-3.6,9.9,6.0,3.2,4.7,-1.2,3.5,4.8,4.0,5.6,-2.5,1.4,-1.2,10.2,4.2,5.6,1.1,3.1,8.1,3.5,5.2,12.2,2.8,1.4,4.9,2.5,3.3,4.7,5.6,-1.9,-32.4,43.3,5.4
"17000","Illinois",0.0,2.5,-0.1,8.3,0.6,-0.4,2.5,-0.2,1.6,0.5,3.4,-6.7,1.9,-1.8,-11.3,-3.4,0.7,1.3,4.6,-3.8,4.3,4.9,1.2,-0.2,2.8,-0.5,5.5,5.1,0.6,-2.3,-3.2,3.8,-2.6,0.7,3.2,-0.6,7.0,4.1,1.0,-0.2,1.8,2.3,-1.4,-1.9,0.3,-1.2,4.4,-2.0,1.3,2.5,1.4,5.6,0.1,1.7,0.2,0.9,-1.9,2.8,-0.2,-6.3,-29.7,34.5,3.5
